"Numero";"Edad";"Genero";"EstadoCivil";"NivelEducativo";"paisPregunta";"Provincia";"SituacionLaboral";"CondicionLaboral";"RubroLaboral";"Estabilidad";"ClaseSocial";"CoberturaMedica";"PersonasACargo";"Vivienda";"Ahorros";"Inversiones";"Alineacion";"Religion";"Vehiculo";"Television";"Internet";"Fuma";"Crisis";"ganancia1_final";"ganancia1_anterior";"ganancia1_recorrido";"ganancia2_final";"ganancia2_anterior";"ganancia2_recorrido";"ganancia3_final";"ganancia3_anterior";"ganancia3_recorrido";"perdida1_final";"perdida1_anterior";"perdida1_recorrido";"perdida2_final";"perdida2_anterior";"perdida2_recorrido";"perdida3_final";"perdida3_anterior";"perdida3_recorrido";"mix1_final";"mix1_anterior";"mix1_recorrido";"mix2_final";"mix2_anterior";"mix2_recorrido";"mix3_final";"mix3_anterior";"mix3_recorrido";"cambiarRespuesta"
"263";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Ninguno";"Centro";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"66";"69";"NO|SI|NO|SI|NO|";"156";"187";"NO|NO|NO|SI|NO|";"1563";"1875";"NO|NO|NO|SI|NO|";"78";"81";"SI|NO|NO|SI|SI|";"1156";"1187";"NO|SI|SI|NO|SI|";"13437";"13125";"NO|SI|NO|SI|NO|";"36";"38";"IN|SI|IN|IN|IN|";"80";"75";"IN|IN|SI|SI|SI|";"699";"752";"NO|NO|SI|SI|NO|";"No"
"264";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"No registrado (trabajo en negr";"Sector público";"Sin respuesta";"Clase media";"OSDE";"2";"Propietario";"Si";"Ninguno";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"2";"46";"43";"NO|NO|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"7813";"8125";"NO|SI|SI|NO|NO|";"110";"107";"NO|SI|SI|SI|NO|";"1532";"1563";"NO|NO|SI|SI|SI|";"15313";"15625";"NO|NO|SI|SI|SI|";"3";"4";"NO|NO|NO|NO|NO|";"15";"29";"NO|NO|NO|NO|NO|";"250";"499";"NO|NO|NO|NO|NO|";"No"
"265";"Menores a 18";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"No registrado (trabajo en negr";"Sector privado";"Seguro";"Clase media";"Otras";"0";"Propietario";"Si";"Moneda extranjera";"Izquierda";"Cristianismo evangélico";"No tengo vehículo propio";"No";"Wifi por cable";"No";"0";"154";"157";"SI|SI|NO|NO|NO|";"406";"437";"NO|NO|SI|SI|NO|";"1563";"1875";"NO|NO|NO|SI|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"8";"12";"NO|NO|NO|NO|NO|";"15";"28";"NO|NO|NO|NO|NO|";"1021";"968";"NO|SI|NO|NO|SI|";"Si"
"266";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"No registrado (trabajo en negr";"ONG u otros";"Inseguro";"Clase baja";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Solo datos móviles";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"94";"63";"NO|NO|NO|NO|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"104";"107";"NO|SI|SI|SI|SI|";"1032";"1063";"NO|SI|SI|SI|SI|";"11563";"11875";"NO|SI|SI|NO|SI|";"15";"14";"NO|NO|SI|NO|SI|";"27";"25";"NO|NO|SI|NO|SI|";"319";"382";"NO|NO|NO|SI|NO|";"Si"
"267";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"22";"19";"IN|IN|IN|SI|SI|";"968";"937";"IN|SI|SI|SI|SI|";"9687";"9375";"IN|SI|SI|SI|SI|";"104";"107";"IN|SI|SI|SI|SI|";"1032";"1063";"IN|SI|SI|SI|SI|";"10313";"10625";"IN|SI|SI|SI|SI|";"18";"18";"IN|SI|SI|SI|SI|";"921";"892";"IN|SI|SI|SI|SI|";"9231";"8934";"IN|SI|SI|SI|SI|";"Si"
"268";"45 a 54";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"2";"Propietario";"Si";"Moneda extranjera";"Centro";"Otras";"Tengo 1";"Si";"Wifi por cable";"No";"3 o más";"154";"157";"SI|SI|NO|NO|NO|";"1532";"1563";"SI|SI|NO|NO|NO|";"14063";"14375";"SI|NO|SI|SI|NO|";"104";"107";"NO|SI|SI|SI|SI|";"906";"937";"SI|NO|NO|NO|SI|";"4687";"4375";"SI|SI|NO|NO|NO|";"162";"166";"SI|NO|NO|NO|NO|";"1015";"1063";"NO|SI|NO|SI|NO|";"4001";"4445";"NO|NO|SI|NO|NO|";"No"
"269";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Galeno";"3 o más";"Propietario";"No";"Ninguno";"Derecha";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"154";"157";"SI|SI|NO|NO|NO|";"1282";"1313";"SI|NO|SI|NO|NO|";"12813";"13125";"SI|NO|SI|NO|NO|";"4";"7";"SI|SI|SI|SI|SI|";"532";"563";"SI|NO|SI|SI|SI|";"1563";"1875";"SI|SI|SI|NO|SI|";"188";"184";"SI|NO|NO|SI|SI|";"1986";"2026";"SI|SI|NO|NO|NO|";"19859";"20264";"SI|SI|NO|NO|NO|";"No"
"270";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"40";"43";"NO|NO|SI|SI|NO|";"468";"437";"NO|NO|SI|SI|SI|";"313";"625";"NO|NO|NO|NO|NO|";"90";"93";"SI|NO|NO|NO|SI|";"782";"813";"SI|NO|NO|SI|SI|";"5937";"5625";"SI|NO|SI|SI|NO|";"27";"28";"NO|SI|NO|SI|NO|";"297";"311";"NO|SI|NO|SI|NO|";"251";"265";"NO|SI|NO|NO|NO|";"No"
"271";"18 a 24";"Masculino";"Soltero/a";"Secundario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Hipotecado";"No";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"4";"7";"NO|NO|NO|NO|NO|";"1532";"1563";"SI|SI|NO|NO|NO|";"14687";"14375";"SI|NO|SI|SI|SI|";"128";"131";"NO|SI|NO|SI|SI|";"1718";"1687";"NO|NO|SI|IN|IN|";"15313";"15625";"NO|NO|SI|SI|SI|";"8";"8";"SI|SI|SI|SI|SI|";"1789";"1837";"SI|NO|NO|SI|NO|";"18618";"19072";"SI|NO|SI|NO|NO|";"Sin respuesta"
"272";"18 a 24";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"1";"Alquila";"No";"Ninguno";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"146";"143";"SI|NO|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"96";"93";"SI|NO|NO|NO|NO|";"1968";"1937";"NO|IN|IN|IN|IN|";"19687";"19375";"NO|NO|NO|IN|IN|";"67";"63";"NO|NO|SI|SI|SI|";"507";"536";"NO|SI|NO|NO|NO|";"4175";"3956";"NO|SI|NO|NO|SI|";"No"
"273";"25 a 34";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Sin respuesta";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Ninguno";"Derecha";"Otras";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"54";"57";"NO|SI|NO|NO|NO|";"468";"437";"NO|NO|SI|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"140";"143";"NO|SI|NO|NO|SI|";"1406";"1437";"NO|SI|NO|NO|SI|";"14063";"14375";"NO|SI|NO|NO|SI|";"31";"32";"NO|SI|NO|NO|NO|";"241";"255";"NO|SI|NO|NO|NO|";"1081";"1144";"NO|SI|NO|NO|NO|";"No"
"274";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Ninguno";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"110";"107";"SI|NO|NO|NO|SI|";"1094";"1063";"SI|NO|NO|NO|SI|";"9063";"9375";"NO|SI|SI|SI|NO|";"140";"143";"NO|SI|NO|NO|SI|";"1094";"1063";"NO|SI|SI|SI|NO|";"10937";"10625";"NO|SI|SI|SI|NO|";"65";"62";"NO|SI|NO|NO|SI|";"504";"471";"NO|NO|SI|SI|SI|";"3170";"2882";"NO|NO|SI|IN|SI|";"No"
"275";"45 a 54";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"1";"Propietario";"Si";"Plazo fijo";"Centro";"Sin respuesta";"Tengo 1";"Si";"Wifi por cable";"No";"2";"46";"43";"NO|NO|SI|SI|SI|";"218";"187";"NO|NO|NO|SI|SI|";"937";"625";"NO|NO|NO|NO|SI|";"4";"7";"SI|SI|SI|SI|SI|";"1094";"1063";"NO|SI|SI|SI|NO|";"313";"625";"SI|SI|SI|SI|SI|";"79";"80";"SI|SI|SI|NO|NO|";"210";"216";"SI|NO|NO|NO|NO|";"1001";"1025";"SI|NO|SI|NO|NO|";"No"
"276";"35 a 44";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase alta";"Swiss Medical";"2";"Propietario";"Si";"Plazo fijo";"Izquierda";"Catolicismo";"Tengo 2";"Si";"Wifi por fibra óptica";"No";"3 o más";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"18437";"18125";"NO|NO|NO|SI|NO|";"2";"2";"NO|NO|IN|IN|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"277";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"1";"Alquila";"Si";"Plazo fijo";"Izquierda";"Sin respuesta";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"3 o más";"96";"93";"NO|SI|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"146";"143";"NO|SI|NO|NO|NO|";"1282";"1313";"NO|SI|NO|SI|SI|";"10313";"10625";"NO|SI|SI|SI|SI|";"100";"102";"SI|NO|NO|NO|NO|";"507";"536";"NO|SI|NO|NO|NO|";"992";"851";"NO|NO|NO|SI|SI|";"Si"
"278";"45 a 54";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Obra social";"3 o más";"Propietario";"No";"Ninguno";"Izquierda";"Sin respuesta";"Tengo 1";;"Wifi por cable";"No";"3 o más";"154";"157";"SI|SI|NO|NO|NO|";"1282";"1313";"SI|NO|SI|NO|NO|";"12187";"11875";"SI|NO|NO|SI|SI|";"190";"193";"IN|IN|IN|IN|SI|";"32";"63";"SI|SI|SI|SI|SI|";"15313";"15625";"IN|IN|SI|SI|SI|";"162";"166";"SI|NO|NO|NO|NO|";"1338";"1378";"SI|NO|NO|NO|NO|";"12410";"12785";"SI|NO|NO|NO|NO|";"No"
"279";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Obra social";"1";"Propietario";"No";"Ninguno";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por cable";"No";"2";"28";"31";"NO|NO|SI|NO|NO|";"32";"63";"NO|NO|NO|IN|IN|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"IN|IN|IN|IN|IN|";"1968";"1937";"IN|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"4";"4";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"280";"18 a 24";"Masculino";"Soltero/a";"Secundario incompleto";"Argentino";;"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"Si";"1";"54";"57";"NO|SI|NO|IN|NO|";"532";"563";"NO|SI|NO|IN|IN|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1468";"1437";"NO|SI|NO|NO|NO|";"17187";"16875";"NO|NO|SI|IN|IN|";"5";"6";"NO|NO|NO|NO|NO|";"19";"36";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"281";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Moneda extranjera";"Centro";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"96";"93";"NO|SI|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"78";"81";"SI|NO|NO|SI|SI|";"594";"563";"SI|NO|SI|SI|NO|";"1563";"1875";"SI|SI|SI|NO|SI|";"110";"112";"SI|NO|NO|SI|NO|";"297";"311";"NO|SI|NO|SI|NO|";"699";"636";"NO|NO|SI|NO|SI|";"No"
"282";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Galeno";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"172";"169";"SI|SI|NO|SI|SI|";"1656";"1687";"SI|SI|NO|SI|NO|";"19063";"19375";"SI|SI|SI|SI|NO|";"60";"57";"SI|NO|SI|SI|NO|";"218";"187";"SI|SI|SI|NO|NO|";"937";"625";"SI|SI|SI|SI|NO|";"177";"182";"SI|NO|IN|NO|NO|";"2559";"2611";"SI|SI|NO|NO|NO|";"4205";"3605";"NO|NO|NO|SI|SI|";"No"
"283";"55 a 64";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Obra social";"2";"Hipotecado";"No";"Moneda extranjera";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"3 o más";"196";"193";"SI|SI|SI|SI|SI|";"1968";"1937";"SI|SI|SI|SI|SI|";"17813";"18125";"SI|SI|SI|NO|NO|";"128";"131";"NO|SI|NO|SI|SI|";"906";"937";"SI|NO|NO|NO|SI|";"10937";"10625";"NO|SI|SI|SI|NO|";"201";"207";"SI|NO|NO|NO|NO|";"1525";"1586";"NO|SI|SI|NO|NO|";"3931";"3370";"NO|NO|NO|SI|SI|";"No"
"284";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Otros";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"Si";"Fondo Común de Inversión";"Centro";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"172";"169";"SI|SI|IN|SI|SI|";"1906";"1937";"SI|SI|SI|SI|NO|";"19063";"19375";"SI|SI|SI|SI|NO|";"54";"57";"SI|NO|SI|SI|SI|";"344";"313";"SI|SI|NO|SI|NO|";"937";"625";"SI|SI|SI|SI|NO|";"187";"182";"SI|NO|NO|NO|SI|";"541";"601";"NO|NO|SI|NO|NO|";"6607";"6007";"NO|NO|SI|NO|SI|";"Sin respuesta"
"285";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Alquila";"Si";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"46";"43";"IN|IN|SI|SI|SI|";"718";"687";"NO|SI|IN|SI|SI|";"2813";"3125";"NO|NO|SI|IN|IN|";"104";"107";"IN|SI|SI|SI|SI|";"968";"937";"SI|IN|IN|IN|IN|";"4687";"4375";"SI|SI|NO|IN|IN|";"19";"18";"NO|NO|SI|SI|SI|";"375";"396";"NO|SI|NO|NO|NO|";"1207";"1299";"NO|NO|SI|SI|NO|";"No"
"286";"55 a 64";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Jubilado/a o pensionado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"No";"Ninguno";"Izquierda";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"Si";"3 o más";"22";"19";"NO|NO|NO|SI|SI|";"94";"63";"NO|NO|NO|NO|SI|";"937";"625";"NO|NO|NO|NO|SI|";"10";"7";"SI|SI|SI|SI|IN|";"94";"63";"SI|SI|SI|SI|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"38";"38";"SI|SI|SI|SI|SI|";"151";"149";"SI|SI|SI|SI|SI|";"1197";"1221";"SI|SI|NO|NO|NO|";"Sin respuesta"
"287";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Moneda extranjera";"Derecha";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"4";"7";"NO|NO|NO|NO|NO|";"968";"937";"NO|SI|SI|SI|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"78";"81";"SI|NO|NO|SI|SI|";"594";"563";"SI|NO|SI|SI|NO|";"4687";"4375";"SI|SI|NO|NO|NO|";"6";"6";"SI|NO|NO|NO|NO|";"983";"1012";"SI|NO|NO|NO|NO|";"9831";"10128";"SI|NO|NO|NO|NO|";"No"
"288";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"Obra social";"0";"Propietario";"No";"Ninguno";"Izquierda";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"16";"19";"NO|NO|NO|SI|NO|";"32";"63";"NO|NO|NO|NO|NO|";"1563";"1875";"NO|NO|NO|SI|IN|";"172";"169";"NO|NO|SI|IN|IN|";"1968";"1937";"IN|IN|IN|IN|IN|";"19063";"19375";"IN|IN|IN|IN|SI|";"18";"18";"SI|NO|NO|IN|IN|";"5";"6";"NO|NO|NO|IN|IN|";"1129";"1182";"IN|SI|NO|SI|IN|";"No"
"289";"18 a 24";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";;"Clase media";"OSDE";;"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"146";"143";"SI|NO|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"5937";"5625";"NO|SI|NO|NO|SI|";"128";"131";"NO|SI|NO|SI|SI|";"1282";"1313";"NO|SI|NO|SI|SI|";"10937";"10625";"NO|SI|SI|SI|NO|";"77";"81";"NO|SI|NO|NO|NO|";"375";"396";"NO|SI|NO|NO|NO|";"3073";"3253";"NO|SI|NO|NO|NO|";"No"
"290";"18 a 24";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Galeno";"0";"Propietario";"Si";"Moneda extranjera";"Centro";"Ateo/a o Agnóstico/a";"Tengo 1";"No";"Wifi por fibra óptica";"No";"3 o más";"22";"19";"NO|NO|NO|SI|SI|";"906";"937";"NO|SI|SI|SI|NO|";"4687";"4375";"NO|NO|SI|SI|SI|";"166";"169";"IN|IN|SI|IN|SI|";"1282";"1313";"IN|SI|IN|SI|SI|";"10937";"10625";"IN|SI|SI|SI|IN|";"6";"6";"NO|NO|SI|NO|SI|";"145";"173";"NO|NO|NO|SI|NO|";"992";"851";"NO|NO|NO|SI|SI|";"No"
"291";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"78";"81";"NO|SI|SI|IN|IN|";"406";"437";"NO|NO|SI|SI|IN|";"4063";"4375";"NO|NO|SI|SI|NO|";"96";"93";"SI|NO|NO|NO|NO|";"782";"813";"SI|NO|NO|SI|SI|";"9063";"9375";"SI|NO|NO|NO|SI|";"84";"86";"SI|NO|NO|NO|NO|";"461";"448";"SI|NO|NO|NO|SI|";"4353";"4484";"SI|NO|NO|NO|NO|";"Si"
"292";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Hipotecado";"Si";"Acciones";"Centro";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"46";"43";"IN|IN|SI|SI|SI|";"1218";"1187";"SI|NO|NO|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"54";"57";"SI|NO|SI|SI|SI|";"906";"937";"SI|NO|NO|NO|SI|";"313";"625";"SI|SI|SI|SI|SI|";"39";"40";"IN|SI|SI|SI|NO|";"939";"976";"IN|SI|SI|NO|NO|";"6809";"6590";"IN|SI|SI|SI|SI|";"Si"
"293";"25 a 34";"Femenino";"Casado/a o viviendo en pareja";"Maestría incompleta ";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"1";"Propietario";"Si";"Moneda extranjera";"Izquierda";"Catolicismo";"Tengo 1";"No";"Wifi por cable";"No";"1";"96";"93";"NO|SI|SI|SI|SI|";"906";"937";"NO|SI|SI|SI|NO|";"10313";"10625";"SI|NO|NO|NO|NO|";"104";"107";"IN|SI|SI|SI|SI|";"1032";"1063";"IN|SI|SI|SI|SI|";"10313";"10625";"IN|SI|SI|SI|SI|";"38";"40";"NO|NO|SI|SI|NO|";"261";"289";"NO|NO|SI|NO|NO|";"1637";"1964";"NO|NO|NO|SI|NO|";"No"
"294";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Alquila";"Si";"Ninguno";"Izquierda";"Otras";"Tengo 1";"Si";"Wifi por cable";"Si";"2";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"295";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"Si";"Ninguno";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por cable";"Si";"1";"46";"43";"NO|NO|SI|SI|SI|";"844";"813";"NO|SI|SI|NO|SI|";"8437";"8125";"NO|SI|SI|NO|SI|";"160";"157";"NO|NO|SI|SI|IN|";"1344";"1313";"NO|SI|NO|SI|IN|";"15313";"15625";"NO|NO|SI|SI|SI|";"9";"8";"NO|NO|NO|SI|SI|";"78";"53";"NO|NO|NO|NO|SI|";"777";"519";"NO|NO|NO|NO|SI|";"No"
